source,activityid,facultyid,userid,work_title,year,publisher,publisher_location,isbn_print,doi,pages,page_count,authors,url,status
FAR,49608,114107930,114107930,Urban Energy Preferences: Policy Planning through Consultative Surveys,2019.0,,,,,"Cities are often viewed as ‘living labs’ or test beds for deploying energy and sustainability priorities (Lewis, 2017; Totty, 2017). Clean energy adoption, which links both objectives, sits at the foreground of urban planning decisions. One of the many cities that is evaluating strategies for clean energy is Boise, Idaho, which is also one of the fastest-growing metropolitan centers in the country (Sharf, 2018). To understand residents’ perspectives on energy use and utilization of energy efficiency upgrades, a survey was developed in a consultative process with the City’s Public Works staff. Respondents were asked a series of questions designed to inform Boise’s Energy Future, the energy plan that was ultimately adopted by the City of Boise in April 2019. The survey was completed by 2,129 Boise city residents in January 2019. Results indicate widespread support for clean and renewable energy goals and concern for climate change among Boise residents. Clean/renewable energy and affordability of energy were the top energy priorities of survey respondents. Solar, geothermal, wind and hydropower sources were preferred over carbon-based energy. In addition, support for Boise’s clean/renewable energy goals exists across demographic groups and zip codes, despite higher income residents and females showing stronger support than others. This paper aims to advance the practice of consultative surveys and public engagement in city planning by outlining the planning needs, conditions, key options for evaluation, and measures taken in the case of Boise’s energy planning efforts. The strengths and weaknesses of various methods are reviewed, such as consultative surveys, focus groups and open house engagement. This paper then considers potential methods of survey design that are more inclusive, for instance, factoring for low-income residents and renters due to under-representation of these groups among survey respondents. The barriers and the means to work-around such impediments are discussed. The paper turns to the more opaque results and the processes of public and stakeholder engagement to shed light on ways that informed and deliberative policy decisions may be advanced. The collaborative role of researchers in the planning process is discussed in the context of trade-offs between methodologically rigorous surveying and accurately addressing policy-makers’ informational needs. Areas for general application and future research are discussed.",,[],https://www.boisestate.edu/epi/eprc9/,"[{""id"": 49608, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2019, ""termid"": ""2019/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,49629,111110041,111110041,Instructional Faculty Development and Student Success,2016.0,,"Washington, D.C.",,,nan,,[],http://www.enfusestem.org/,"[{""id"": 49629, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2016, ""termid"": ""2015/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,49650,113161429,113161429,Quantitative Assessment of Program Outcomes Using Longitudinal Data from the FE Exam,2013.0,,,,,nan,,[],,"[{""id"": 49650, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2013, ""termid"": ""2013/01"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,49690,113168713,113168713,Urban Energy Preferences: Policy Planning through Consultative Surveys,2019.0,,,,,"Cities are often viewed as ‘living labs’ or test beds for deploying energy and sustainability priorities (Lewis, 2017; Totty, 2017). Clean energy adoption, which links both objectives, sits at the foreground of urban planning decisions. One of the many cities that is evaluating strategies for clean energy is Boise, Idaho, which is also one of the fastest-growing metropolitan centers in the country (Sharf, 2018). To understand residents’ perspectives on energy use and utilization of energy efficiency upgrades, a survey was developed in a consultative process with the City’s Public Works staff. Respondents were asked a series of questions designed to inform Boise’s Energy Future, the energy plan that was ultimately adopted by the City of Boise in April 2019. The survey was completed by 2,129 Boise city residents in January 2019. Results indicate widespread support for clean and renewable energy goals and concern for climate change among Boise residents. Clean/renewable energy and affordability of energy were the top energy priorities of survey respondents. Solar, geothermal, wind and hydropower sources were preferred over carbon-based energy. In addition, support for Boise’s clean/renewable energy goals exists across demographic groups and zip codes, despite higher income residents and females showing stronger support than others. This paper aims to advance the practice of consultative surveys and public engagement in city planning by outlining the planning needs, conditions, key options for evaluation, and measures taken in the case of Boise’s energy planning efforts. The strengths and weaknesses of various methods are reviewed, such as consultative surveys, focus groups and open house engagement. This paper then considers potential methods of survey design that are more inclusive, for instance, factoring for low-income residents and renters due to under-representation of these groups among survey respondents. The barriers and the means to work-around such impediments are discussed. The paper turns to the more opaque results and the processes of public and stakeholder engagement to shed light on ways that informed and deliberative policy decisions may be advanced. The collaborative role of researchers in the planning process is discussed in the context of trade-offs between methodologically rigorous surveying and accurately addressing policy-makers’ informational needs. Areas for general application and future research are discussed.",,[],https://www.boisestate.edu/epi/eprc9/,"[{""id"": 49690, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2019, ""termid"": ""2019/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,49776,113116029,113116029,"Art of Implementation: Diversity, Equity and Inclusion in Art and Cultural Planning",2019.0,,,,,nan,,[],,"[{""id"": 49776, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2019, ""termid"": ""2019/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,49868,111643744,111643744,Differential Gene Expression in C2C12 Cells due to Scaffold Structure-Property-Processing-Performance Correlations,2019.0,,,,,nan,,[],,"[{""id"": 49868, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2019, ""termid"": ""2018/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,49874,111669747,111669747,Revolutionizing Mechanical Engineering Undergraduate Curriculum,2020.0,,,,,nan,,[],,"[{""id"": 49874, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2020, ""termid"": ""2019/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,49926,111358853,111358853,"INVESTIGATION OF TERROIR FACTORS, SUNNYSLOPE DISTRICT, SNAKE RIVER VALLEY AVA",2016.0,Southern Oregon University,"Ashland, OR",,,http://terroircongress.org/,,[],,"[{""id"": 49926, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2016, ""termid"": ""2016/01"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,50002,111669985,111669985,"Art of Implementation: Diversity, Equity and Inclusion in Art and Cultural Planning",2019.0,,,,,nan,,[],,"[{""id"": 50002, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2019, ""termid"": ""2019/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,50003,112045153,112045153,Support Model for Transfer Students Utilizing the STEM Scholarship Program,2016.0,American Society for Engineering Education,,,10.18260/p.25969,"This paper describes how the College of Engineering at Boise State University utilized a National Science Foundation S-STEM award from 2011 to 2016 to support transfer students in their path toward graduation. The need for this support was a result of both Boise State University College of Engineering’s transition from a 2-year pre-engineering program to the establishment of Bachelors of Science in Engineering Degree programs in 1997 as well as the establishment of the College of Western Idaho as a regional community college in 2007. Both of these factors led to an increase in the numbers of incoming engineering students transferring from other institutions of higher education to complete their degree. These students were generally ineligible for most Boise State University scholarship programs which are mainly aimed toward students entering college directly from high school. In this paper we describe how our program connected transfer students with university staff, faculty and resources. To date, this program has a 100% retention rate, with the exception of one student on an official leave of absence, and a projected 100% graduation rate with 91% of the students already graduated. In addition, approximately 22% of scholarship graduates are pursuing graduate degrees",,[],https://peer.asee.org/25969,"[{""id"": 50003, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2016, ""termid"": ""2016/01"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 50003, ""status"": ""Accepted"", ""term"": ""Spring"", ""year"": 2016, ""termid"": ""2015/03"", ""listingorder"": 4, ""completionorder"": 4}]"
