source,activityid,facultyid,userid,work_title,year,publisher,publisher_location,isbn_print,doi,pages,page_count,authors,url,status
FAR,24389,111643688,111643688,English Fragments : A Brief History of the Soul,2010,Fence Books,,,,"Moving freely through poetry's pictorial fragmentariness and literal fragments of prose, with a streaming, equanimous, nondiscriminatory referentiality, Corless-Smith proposes and confers with entities in ""the janus-faced doorway"" of antiquity and contemporaneity; inference and exposition; soul and body—the ""experience and the coming-into-history of that experience.""",,[],http://scholarworks.boisestate.edu/fac_books/5,"[{""id"": 24389, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2010, ""termid"": ""2009/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,24390,111643688,111643688,This Fatal Looking Glass,2016,SplitLevel Press,,,,nan,,[],,"[{""id"": 24390, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2018, ""termid"": ""2017/03"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 24390, ""status"": ""Accepted"", ""term"": ""Fall"", ""year"": 2014, ""termid"": ""2014/02"", ""listingorder"": 4, ""completionorder"": 4}]"
FAR,24405,111110046,111110046,Global Anti-realism: A Metaphilosophical Inquiry,2000,Westview Press,"Boulder, Colorado",,,nan,,[],,"[{""id"": 24405, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2000, ""termid"": ""2000/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,24410,112033523,112033523,Unitary Business,2014,Thomson Reuters/Tax & Accounting,,,,178,,[],,"[{""id"": 24410, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2014, ""termid"": ""2014/01"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 24410, ""status"": ""Accepted"", ""term"": ""Spring"", ""year"": 2013, ""termid"": ""2012/03"", ""listingorder"": 4, ""completionorder"": 4}]"
FAR,24481,112052788,112052788,Wandering Women in French Film and Literature: A Study of Narrative Drift,2013,Palgrave Macmillan,,978-1-137-33998-0,,212,,[],http://us.macmillan.com/wanderingwomeninfrenchfilmandliterature/MariahDevereuxHerbeck,"[{""id"": 24481, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2013, ""termid"": ""2013/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,24502,111600516,111600516,"The Activ(ist) Learner: Inquiry, Literacy, and Service to Make Learning Matter",2014,Teachers College Press,,9.78081E+12,,160,,[],,"[{""id"": 24502, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2014, ""termid"": ""2014/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,24530,111669985,111669985,Women's Voices on American Stages: Sarah Ruhl and her Contemporaries,2013,Palgrave Macmillan,"New York, New York",,,nan,,[],,"[{""id"": 24530, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2013, ""termid"": ""2012/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,24531,111669985,111669985,"Staging Gertrude Stein: Absence, Culture, and the Landscape of American Alternative Theatre",2005,Palgrave Macmillan,,,,"Gertrude Stein's dramatic texts rely on the absence of many landmarks of traditional theater, but absence is a very difficult thing to stage. Iconoclastic directors and production teams-including Virgil Thomson, the Living Theatre, the Judson Poets Theatre, the Santa Fe Opera, the Glimmerglass Opera, the Wooster Group, Robert Wilson, Anne Bogart, Frank Galati and Heiner Goebbels-have ardently roamed Stein's spare dramatic ""landscapes,"" but even these convention-defying artists had to fill some of her absences in order to bring the texts to life on stage. Inevitably contemporary culture infiltrates Stein's pristine topography via these extra-textual additions, transforming it in ways virtually unimaginable when the reader encounters the text on the printed page. It is only by mapping the intersections of written text, performance text, and context, that one can gain a full appreciation of what Stein's dramatic writing has meant at various historical moments, how she herself has been imagined, and how her writing has transformed the landscape of the American alternative theater.",,[],http://scholarworks.boisestate.edu/fac_books/224,"[{""id"": 24531, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2005, ""termid"": ""2004/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,24532,111669985,111669985,Theatre Lives,2009,Kendall Hunt,,,,nan,,[],http://scholarworks.boisestate.edu/fac_books/274,"[{""id"": 24532, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2009, ""termid"": ""2008/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,24540,111110155,111110155,College Teaching and the Development of Reasoning,2009,Information Age Publishing,,,,"This book is intended to offer college faculty members the insights of the development of reasoning movement that enlighten physics educators in the late 1970s and led to a variety of college programs directed at improving the reasoning patterns used by college students. While the original materials were directed at physics concepts, they quickly expanded to include other sciences and the humanities and social sciences. On-going developments in the field will be included.The editors have introduced new topics, including discussions of Vygotsky's ideas in relation to those of Piaget, of science education research progress since 1978, of constructivist learning theory applied to educational computer games and of applications from anthropology to zoology. These materials are especially relevant for consideration by current university faculty in all subjects.",,[],http://scholarworks.boisestate.edu/fac_books/49,"[{""id"": 24540, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2009, ""termid"": ""2008/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,24632,113146926,113146926,"Urbanization and Sustainability: Linking urban ecology, environmental justice and global environmental change",2013,Springer,,,,nan,,[],http://link.springer.com/book/10.1007/978-94-007-5666-3/page/1,"[{""id"": 24632, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2013, ""termid"": ""2012/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,24633,113146926,113146926,"Global urbanization, biodiversity and ecosystem services",2013,Springer,,,,nan,,[],,"[{""id"": 24633, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2013, ""termid"": ""2013/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,24651,112184269,112184269,"So, What’s the Story?: Teaching Narrative to Understand Ourselves, Others, and the World",2012,Heinemann,,325042926,,208,,[],http://scholarworks.boisestate.edu/fac_books/315,"[{""id"": 24651, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2012, ""termid"": ""2012/01"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,24652,112184269,112184269,"Oh, Yeah?!: Putting Argument to Work Both in School and Out",2012,Heinemann,Portsmouth,9.78033E+12,,nan,,[],,"[{""id"": 24652, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2012, ""termid"": ""2012/02"", ""listingorder"": 6, ""completionorder"": 6}]"
