faculty_id,activity_id
111110070,2170
111110070,2171
111110070,2172
111110070,2173
111110070,2174
111110070,2175
111110070,2176
111110070,2177
111110070,2178
111110070,2179
111110070,2180
111201769,2216
111201769,2217
111201769,2218
111201769,2219
111201769,2220
113146329,2221
113146329,2222
113146329,2223
113146329,2224
111358636,2233
111358636,2234
111358636,2235
111358636,2236
111358636,2237
111358636,2238
111358636,2239
111358636,2240
111358636,2241
111358636,2242
111358636,2243
111358636,2244
111358636,2245
111358636,2246
111358636,2247
111358636,2248
111358636,2249
111358636,2250
111358636,2251
111358636,2252
111358636,2253
111358636,2254
111351647,2258
111351647,2259
111351647,2260
111351647,2261
111351647,2262
111351647,2263
114002030,2289
114002030,2290
113017246,2291
113017246,2293
113017246,2294
113017246,2295
113017246,2296
113017246,2297
113017246,2298
113017246,2299
114000904,2300
114000904,2301
114000904,2302
114000904,2303
114000904,2304
114000904,2305
114000904,2306
114000904,2307
114000904,2308
114000904,2309
114000904,2310
114000904,2311
113083497,2335
113083497,2337
113083497,2338
113083497,2339
113083497,2340
113083497,2341
113083497,2342
113083497,2343
113083497,2345
113083497,2346
113083497,2347
113083497,2349
113083497,2350
113083497,2351
113083497,2352
113083497,2353
113083497,2354
113083497,2355
113083497,2356
113083497,2359
113121174,2361
111110314,2363
111110314,2364
111110314,2365
111110314,2366
111110314,2367
111110314,2368
111110314,2369
111110314,2370
111110314,2371
111110314,2372
111110314,2373
111110314,2374
111110314,2375
111110314,2376
111110314,2377
111110314,2378
111110314,2379
111110314,2380
111110314,2381
111110314,2382
111110314,2383
111110314,2384
111110314,2385
111110314,2386
111110314,2387
111110314,2388
111110314,2389
111110314,2390
111110314,2391
111110314,2392
111110314,2393
111110314,2394
111110314,2395
111110314,2396
111110314,2397
111110314,2398
112099407,2565
112099407,2566
112099407,2567
112099407,2568
112099407,2569
112099407,2570
112099407,2571
112099407,2572
113084385,2614
113084385,2615
113084385,2616
113084385,2618
113084385,2619
113084385,2620
113084385,2621
113084385,2622
113084385,2623
113084385,2624
112052788,2638
112052788,2639
112052788,2640
112052788,2641
112052788,2643
112102649,2644
112102649,2645
112102649,2646
112102649,2647
111669985,2714
111669985,2715
111669985,2716
111669985,2717
111669985,2718
111669985,2719
111669985,2720
112192272,2721
112192272,2722
112192272,2723
112192272,2725
112192272,2726
112192272,2727
112192272,2728
111110155,2729
111110155,2730
111110155,2731
111110155,2732
111110155,2733
111110155,2734
111110155,2735
111110155,2736
111110155,2737
111110155,2738
111110155,2739
112172788,2847
112172788,2849
112172788,2850
112172788,2851
112172788,2852
112172788,2853
112172788,2854
112172788,2855
112172788,2856
112172788,2857
112172788,2858
112172788,2859
112172788,2862
112172788,2864
112172788,2865
112172788,2866
112172788,2867
112172788,2868
112172788,2869
112172788,2870
112172788,2871
112172788,2872
112172788,2873
112172788,2874
112172788,2876
112172788,2877
112172788,2878
112172788,2879
112172788,2880
112172788,2881
112172788,2882
112172788,2883
112172788,2884
112172788,2885
112172788,2886
112184269,2909
112184269,2910
112184269,2911
112184269,2912
112184269,2913
112184269,2914
112184269,2915
112184269,2916
112184269,2917
114002257,2918
114002257,2919
114002257,2920
114002257,2921
114002257,2922
114002257,2923
114002257,2924
114002257,2925
114002257,2926
114002257,2927
114002257,2928
114002257,2929
114002257,2930
114002257,2931
114002257,2932
114002257,2933
114002257,2934
114002257,2936
114002257,2937
114002257,2938
114002257,2941
114002257,2942
114002258,2971
114002258,2972
114002258,2973
114002258,2974
114002258,2975
114002258,2976
112182688,2981
112182688,2982
112182688,2983
112182688,2984
112182688,2985
112182688,2987
112182688,2988
112182688,2989
112182688,2990
112182688,2991
112182688,2992
112182688,2993
112182688,2994
112182688,2995
112182688,2997
112182688,2998
112182688,2999
112182688,3000
112182688,3001
112182688,3002
112182688,3003
112182688,3004
112182688,3005
112182688,3007
112182688,3008
112182688,3009
112182688,3010
112182688,3011
112182688,3012
112182688,3013
112182688,3014
111358865,3031
111358865,3032
111358865,3033
111358865,3034
111358865,3035
111358865,3036
111358865,3037
111643447,3044
111643447,3045
111643447,3046
111643447,3047
111643447,3048
111643447,3049
111643447,3050
114003223,3061
114003223,3062
114003223,3063
114003223,3064
114003223,3065
114003223,3066
114003223,3067
114003223,3068
114003223,3069
114003223,3070
114003223,3071
114003223,3072
114003223,3073
114003223,3074
113022490,3102
113022490,3103
113022490,3104
113022490,3105
113022490,3106
113022490,3107
112032282,3137
112032282,3138
112032282,3139
112032282,3140
112032282,3141
112032282,3142
112032282,3143
112032282,3144
112032282,3145
112032282,3146
112032282,3147
112032282,3148
112032282,3149
112032282,3150
112032282,3151
112032282,3152
112032282,3153
112032282,3154
112032282,3155
112032282,3156
112032282,3157
112032282,3158
113069189,3264
113069189,3265
113069189,3266
112062498,3268
112062498,3269
112062498,3270
112062498,3271
112062498,3272
112062498,3273
114001941,3274
114001941,3275
114001941,3276
114001941,3277
114001941,3278
111277518,3280
111277518,3281
111277518,3282
111277518,3283
111277518,3284
111277518,3286
111277518,3287
111277518,3288
111277518,3289
111277518,3290
111277518,3291
111277518,3292
111277518,3293
111277518,3294
111277518,3295
111277518,3296
111277518,3297
111277518,3298
111277518,3300
111277518,3301
111277518,3302
111277518,3303
111277518,3304
111277518,3305
111277518,3306
111277518,3308
111277518,3309
111277518,3310
111277518,3311
111277518,3312
111112417,3324
112052765,3325
112052765,3326
112052765,3327
112052765,3328
112052765,3329
